,Merchant_id,Business_type,Location,mof,Affirm_product,churn
116,M0117,Beauty,Phoenix,36,Other integrations,1
117,M0118,Restaurant,Houston,13,Debit Card,0
118,M0119,Airline,Phoenix,32,API-integration,0
119,M0120,Retail,New York,71,Affirm Anywhere,0
120,M0121,Ticket,New York,59,Debit Card,0
121,M0122,Ticket,San Francisco,28,Debit Card,1
122,M0123,Airline,Chicago,66,Partnership,0
123,M0124,Retail,San Francisco,42,VCN-integration,0
124,M0125,Beauty,Houston,45,Debit Card,0
125,M0126,Ticket,Phoenix,62,Debit Card,0
126,M0127,Beauty,San Francisco,57,Other integrations,0
127,M0128,Ticket,Los Angeles,6,Affirm Anywhere,0
128,M0129,Beauty,Los Angeles,28,Debit Card,0
129,M0130,Ticket,Chicago,28,Affirm Anywhere,0
130,M0131,Beauty,San Francisco,44,VCN-integration,0
131,M0132,Airline,Houston,30,Other integrations,0
132,M0133,Restaurant,Los Angeles,62,Partnership,0
133,M0134,Beauty,Chicago,62,Partnership,0
134,M0135,Restaurant,San Francisco,1,VCN-integration,0
135,M0136,Restaurant,Chicago,27,VCN-integration,0
136,M0137,Retail,Houston,62,Other integrations,0
137,M0138,Airline,Los Angeles,3,Other integrations,0
138,M0139,Restaurant,Los Angeles,70,API-integration,0
139,M0140,Department_store,Los Angeles,27,Debit Card,0
140,M0141,Restaurant,New York,9,Debit Card,0
141,M0142,Beauty,Los Angeles,62,Debit Card,0
142,M0143,Restaurant,Phoenix,37,Affirm Anywhere,0
143,M0144,Beauty,New York,51,API-integration,0
144,M0145,Beauty,San Francisco,44,Debit Card,0
145,M0146,Department_store,New York,24,Affirm Anywhere,0
146,M0147,Restaurant,New York,59,Affirm Anywhere,0
147,M0148,Restaurant,New York,32,Partnership,1
148,M0149,Ticket,Chicago,52,Affirm Anywhere,0
149,M0150,Ticket,Phoenix,62,VCN-integration,0
150,M0151,Retail,Houston,58,Other integrations,0
151,M0152,Beauty,Los Angeles,52,Affirm Anywhere,0
152,M0153,Department_store,New York,12,VCN-integration,0
153,M0154,Ticket,Houston,39,VCN-integration,0
154,M0155,Restaurant,Chicago,2,Partnership,0
155,M0156,Retail,Houston,3,Partnership,0
156,M0157,Department_store,New York,56,Affirm Anywhere,0
157,M0158,Airline,San Francisco,59,Partnership,0
158,M0159,Restaurant,Phoenix,2,Partnership,0
159,M0160,Restaurant,Houston,2,Other integrations,0
160,M0161,Airline,New York,54,Debit Card,0
161,M0162,Beauty,New York,1,Affirm Anywhere,0
162,M0163,Beauty,Los Angeles,19,Affirm Anywhere,0
163,M0164,Ticket,San Francisco,2,Affirm Anywhere,0
164,M0165,Ticket,Los Angeles,53,Partnership,0
165,M0166,Restaurant,San Francisco,44,Other integrations,0
166,M0167,Restaurant,Phoenix,32,Partnership,0
167,M0168,Ticket,Los Angeles,70,VCN-integration,0
168,M0169,Airline,Phoenix,32,API-integration,0
169,M0170,Ticket,Chicago,68,API-integration,0
170,M0171,Restaurant,Chicago,55,API-integration,0
171,M0172,Department_store,San Francisco,56,Debit Card,0
172,M0173,Restaurant,San Francisco,17,Partnership,0
173,M0174,Department_store,Los Angeles,38,VCN-integration,0
174,M0175,Department_store,Chicago,24,VCN-integration,0
175,M0176,Restaurant,Houston,69,API-integration,0
176,M0177,Retail,Houston,70,Other integrations,0
177,M0178,Ticket,Houston,11,Debit Card,0
178,M0179,Beauty,Chicago,16,Debit Card,0
179,M0180,Restaurant,Houston,59,API-integration,0
180,M0181,Department_store,Phoenix,70,API-integration,1
181,M0182,Restaurant,New York,3,Partnership,0
182,M0183,Ticket,San Francisco,20,Other integrations,0
183,M0184,Airline,Los Angeles,59,Debit Card,0
184,M0185,Department_store,Phoenix,36,VCN-integration,0
185,M0186,Beauty,Houston,19,API-integration,0
186,M0187,Beauty,New York,67,Partnership,0
187,M0188,Beauty,Los Angeles,19,VCN-integration,0
188,M0189,Airline,Phoenix,20,Debit Card,0
189,M0190,Retail,Los Angeles,71,API-integration,0
190,M0191,Department_store,San Francisco,52,Other integrations,0
191,M0192,Airline,Chicago,33,API-integration,1
192,M0193,Department_store,Houston,40,Other integrations,0
193,M0194,Airline,Phoenix,39,Partnership,0
194,M0195,Airline,Phoenix,1,Partnership,0
195,M0196,Retail,New York,11,Debit Card,0
196,M0197,Department_store,New York,57,Other integrations,0
197,M0198,Airline,New York,50,API-integration,0
198,M0199,Retail,Los Angeles,23,Partnership,0
199,M0200,Restaurant,Houston,31,API-integration,0
200,M0201,Ticket,Los Angeles,42,Debit Card,0
201,M0202,Airline,Houston,7,Other integrations,0
202,M0203,Beauty,Phoenix,16,API-integration,0
203,M0204,Retail,Los Angeles,60,VCN-integration,0
204,M0205,Retail,Los Angeles,2,API-integration,0
205,M0206,Airline,Los Angeles,1,Affirm Anywhere,0
206,M0207,Retail,Chicago,48,Affirm Anywhere,0
207,M0208,Restaurant,San Francisco,12,Debit Card,0
208,M0209,Retail,Houston,69,Debit Card,0
209,M0210,Ticket,Houston,37,Debit Card,0
210,M0211,Ticket,Los Angeles,32,VCN-integration,0
211,M0212,Beauty,Chicago,9,Other integrations,0
212,M0213,Restaurant,Los Angeles,19,VCN-integration,0
213,M0214,Ticket,Houston,48,API-integration,0
214,M0215,Airline,San Francisco,3,Partnership,0
215,M0216,Department_store,San Francisco,20,Other integrations,0
216,M0217,Department_store,Phoenix,24,Affirm Anywhere,1
217,M0218,Department_store,Chicago,54,Affirm Anywhere,0
218,M0219,Airline,San Francisco,33,Affirm Anywhere,0
219,M0220,Retail,Chicago,24,API-integration,0
220,M0221,Airline,Los Angeles,36,API-integration,0
221,M0222,Retail,Phoenix,38,Debit Card,0
222,M0223,Department_store,Houston,25,Partnership,0
223,M0224,Beauty,San Francisco,18,Debit Card,0
224,M0225,Beauty,San Francisco,66,API-integration,0
225,M0226,Retail,New York,54,VCN-integration,0
226,M0227,Department_store,Houston,35,Debit Card,0
227,M0228,Airline,San Francisco,61,Other integrations,0
228,M0229,Beauty,San Francisco,41,API-integration,0
229,M0230,Retail,Houston,33,API-integration,0
230,M0231,Airline,Phoenix,68,VCN-integration,0
231,M0232,Department_store,Chicago,33,VCN-integration,0
232,M0233,Restaurant,Houston,14,VCN-integration,0
233,M0234,Department_store,Chicago,21,Partnership,0
234,M0235,Department_store,Phoenix,48,Other integrations,0
235,M0236,Airline,Phoenix,20,API-integration,0
236,M0237,Airline,Los Angeles,8,VCN-integration,0
237,M0238,Ticket,New York,7,Partnership,1
238,M0239,Ticket,Phoenix,67,Affirm Anywhere,0
239,M0240,Airline,Phoenix,17,Other integrations,0
240,M0241,Airline,Chicago,33,Affirm Anywhere,0
241,M0242,Restaurant,Phoenix,48,Affirm Anywhere,0
242,M0243,Restaurant,Houston,59,API-integration,1
243,M0244,Department_store,Los Angeles,22,Partnership,1
244,M0245,Beauty,Los Angeles,30,Partnership,0
245,M0246,Restaurant,Houston,38,Affirm Anywhere,0
246,M0247,Department_store,San Francisco,51,Other integrations,0
247,M0248,Retail,Phoenix,54,Debit Card,0
248,M0249,Ticket,New York,8,Affirm Anywhere,0
249,M0250,Beauty,Phoenix,27,API-integration,0
250,M0251,Department_store,Los Angeles,27,Affirm Anywhere,0
251,M0252,Airline,New York,21,Other integrations,0
252,M0253,Retail,San Francisco,30,Other integrations,0
253,M0254,Ticket,Chicago,28,Affirm Anywhere,0
254,M0255,Retail,Chicago,64,Partnership,0
255,M0256,Department_store,Phoenix,69,Affirm Anywhere,0
256,M0257,Restaurant,Phoenix,61,VCN-integration,0
257,M0258,Ticket,New York,48,VCN-integration,0
258,M0259,Retail,New York,19,Debit Card,0
259,M0260,Restaurant,San Francisco,4,API-integration,0
260,M0261,Beauty,Phoenix,35,API-integration,0
261,M0262,Department_store,Los Angeles,64,Partnership,0
262,M0263,Department_store,Chicago,49,API-integration,0
263,M0264,Ticket,San Francisco,17,Debit Card,0
264,M0265,Retail,New York,44,VCN-integration,0
265,M0266,Beauty,Los Angeles,30,Partnership,0
266,M0267,Airline,Phoenix,46,Other integrations,0
267,M0268,Ticket,Houston,6,VCN-integration,0
268,M0269,Airline,New York,37,Debit Card,0
269,M0270,Ticket,San Francisco,24,Partnership,0
270,M0271,Retail,Houston,46,Affirm Anywhere,0
271,M0272,Beauty,Los Angeles,53,API-integration,0
272,M0273,Retail,Chicago,60,Debit Card,0
273,M0274,Department_store,Los Angeles,63,Partnership,0
274,M0275,Airline,Chicago,32,VCN-integration,0
275,M0276,Restaurant,Los Angeles,33,Partnership,0
276,M0277,Department_store,New York,67,Affirm Anywhere,0
277,M0278,Department_store,New York,18,Debit Card,1
278,M0279,Airline,San Francisco,25,Partnership,0
279,M0280,Ticket,Houston,54,Other integrations,0
280,M0281,Department_store,Los Angeles,58,Debit Card,0
281,M0282,Beauty,Los Angeles,67,Debit Card,0
282,M0283,Department_store,Houston,46,VCN-integration,0
283,M0284,Beauty,Phoenix,24,API-integration,0
284,M0285,Retail,San Francisco,32,Other integrations,0
285,M0286,Ticket,Los Angeles,47,Affirm Anywhere,0
286,M0287,Beauty,San Francisco,23,Partnership,0
287,M0288,Department_store,Los Angeles,66,API-integration,0
288,M0289,Ticket,Los Angeles,27,VCN-integration,0
289,M0290,Ticket,Phoenix,2,API-integration,0
290,M0291,Beauty,New York,17,Debit Card,0
291,M0292,Beauty,San Francisco,33,Debit Card,0
292,M0293,Restaurant,Houston,9,Affirm Anywhere,0
293,M0294,Restaurant,San Francisco,43,Other integrations,0
294,M0295,Ticket,Phoenix,48,Partnership,0
295,M0296,Airline,Chicago,39,Partnership,0
296,M0297,Airline,Chicago,42,VCN-integration,0
297,M0298,Restaurant,Phoenix,26,Affirm Anywhere,0
298,M0299,Department_store,Phoenix,50,Partnership,0
299,M0300,Retail,New York,25,Other integrations,0
300,M0301,Ticket,San Francisco,24,Debit Card,0
301,M0302,Retail,San Francisco,13,Affirm Anywhere,0
302,M0303,Restaurant,Chicago,60,API-integration,0
303,M0304,Beauty,Houston,7,Affirm Anywhere,0
304,M0305,Ticket,San Francisco,57,Affirm Anywhere,0
305,M0306,Restaurant,Los Angeles,36,Other integrations,1
306,M0307,Department_store,Los Angeles,45,Other integrations,0
307,M0308,Ticket,New York,20,Partnership,0
308,M0309,Ticket,New York,65,VCN-integration,0
309,M0310,Airline,Chicago,8,VCN-integration,1
310,M0311,Beauty,Houston,16,Other integrations,0
311,M0312,Ticket,Houston,14,Partnership,0
312,M0313,Beauty,Phoenix,15,Partnership,0
313,M0314,Restaurant,New York,66,Partnership,1
314,M0315,Department_store,San Francisco,32,Other integrations,0
315,M0316,Department_store,Los Angeles,63,VCN-integration,0
316,M0317,Ticket,San Francisco,51,Partnership,0
317,M0318,Ticket,Los Angeles,25,Other integrations,0
318,M0319,Restaurant,Chicago,58,API-integration,0
319,M0320,Airline,Los Angeles,63,API-integration,0
320,M0321,Airline,San Francisco,62,Debit Card,0
321,M0322,Airline,San Francisco,22,API-integration,0
322,M0323,Beauty,Houston,58,Affirm Anywhere,0
323,M0324,Airline,Houston,58,Debit Card,0
324,M0325,Department_store,New York,49,API-integration,0
325,M0326,Beauty,San Francisco,52,Affirm Anywhere,0
326,M0327,Restaurant,Chicago,42,API-integration,0
327,M0328,Department_store,Los Angeles,70,Other integrations,0
328,M0329,Department_store,New York,15,Affirm Anywhere,0
329,M0330,Retail,Phoenix,54,Partnership,0
330,M0331,Restaurant,Phoenix,60,Other integrations,0
331,M0332,Restaurant,Los Angeles,8,Affirm Anywhere,0
332,M0333,Retail,Los Angeles,53,Other integrations,0
333,M0334,Beauty,Los Angeles,60,Partnership,0
334,M0335,Airline,Houston,5,Affirm Anywhere,0
335,M0336,Airline,Los Angeles,68,Affirm Anywhere,1
336,M0337,Airline,Phoenix,6,Other integrations,0
337,M0338,Airline,Los Angeles,47,API-integration,0
338,M0339,Airline,San Francisco,55,Affirm Anywhere,0
339,M0340,Retail,Chicago,40,API-integration,0
340,M0341,Restaurant,Phoenix,52,Affirm Anywhere,0
341,M0342,Beauty,Chicago,16,VCN-integration,0
342,M0343,Department_store,Phoenix,13,Debit Card,0
343,M0344,Airline,New York,30,API-integration,0
344,M0345,Retail,San Francisco,19,API-integration,0
345,M0346,Beauty,Phoenix,17,Partnership,1
346,M0347,Beauty,San Francisco,63,VCN-integration,0
347,M0348,Beauty,Phoenix,19,Partnership,0
348,M0349,Retail,Chicago,58,VCN-integration,0
349,M0350,Department_store,Chicago,55,VCN-integration,0
350,M0351,Airline,Phoenix,62,Other integrations,0
351,M0352,Beauty,Phoenix,23,Other integrations,0
352,M0353,Retail,Houston,9,Other integrations,0
353,M0354,Restaurant,San Francisco,12,Affirm Anywhere,0
354,M0355,Retail,San Francisco,1,Partnership,0
355,M0356,Retail,San Francisco,58,Debit Card,0
356,M0357,Retail,San Francisco,1,VCN-integration,0
357,M0358,Beauty,New York,34,VCN-integration,0
358,M0359,Retail,New York,48,API-integration,0
359,M0360,Restaurant,Los Angeles,1,Affirm Anywhere,0
360,M0361,Beauty,Phoenix,16,Debit Card,0
361,M0362,Restaurant,Phoenix,61,Other integrations,0
362,M0363,Ticket,Phoenix,64,VCN-integration,1
363,M0364,Retail,Phoenix,63,API-integration,1
364,M0365,Airline,San Francisco,69,Partnership,1
365,M0366,Airline,San Francisco,22,VCN-integration,0
366,M0367,Beauty,New York,67,API-integration,0
367,M0368,Airline,Chicago,26,Partnership,1
368,M0369,Beauty,Houston,16,Affirm Anywhere,0
369,M0370,Retail,San Francisco,51,Other integrations,0
370,M0371,Department_store,San Francisco,57,Partnership,0
371,M0372,Department_store,San Francisco,29,VCN-integration,1
372,M0373,Restaurant,Chicago,69,Debit Card,0
373,M0374,Retail,Chicago,47,Partnership,0
374,M0375,Airline,New York,62,Debit Card,1
375,M0376,Retail,San Francisco,69,Debit Card,0
376,M0377,Ticket,Houston,16,Partnership,0
377,M0378,Department_store,Phoenix,48,Affirm Anywhere,0
378,M0379,Airline,San Francisco,39,Partnership,0
379,M0380,Department_store,New York,33,API-integration,0
380,M0381,Retail,New York,23,Other integrations,0
381,M0382,Airline,Houston,10,Debit Card,0
382,M0383,Restaurant,Los Angeles,69,Other integrations,0
383,M0384,Retail,New York,34,VCN-integration,0
384,M0385,Restaurant,Chicago,52,Debit Card,0
385,M0386,Airline,Chicago,10,VCN-integration,0
386,M0387,Department_store,Phoenix,19,API-integration,0
387,M0388,Ticket,New York,58,API-integration,0
388,M0389,Beauty,Phoenix,1,Other integrations,0
389,M0390,Department_store,New York,69,API-integration,0
390,M0391,Restaurant,Houston,4,Partnership,0
391,M0392,Retail,San Francisco,16,Debit Card,0
392,M0393,Airline,New York,24,VCN-integration,0
393,M0394,Department_store,Los Angeles,2,Other integrations,0
394,M0395,Ticket,Chicago,32,Other integrations,0
395,M0396,Airline,Houston,24,API-integration,0
396,M0397,Restaurant,San Francisco,12,API-integration,0
397,M0398,Airline,San Francisco,50,VCN-integration,0
398,M0399,Airline,Chicago,35,Debit Card,0
399,M0400,Retail,San Francisco,33,Debit Card,0
400,M0401,Beauty,Phoenix,33,Other integrations,0
401,M0402,Restaurant,Houston,61,VCN-integration,0
402,M0403,Retail,Los Angeles,51,Other integrations,0
403,M0404,Beauty,Chicago,43,Affirm Anywhere,0
404,M0405,Retail,New York,12,Debit Card,0
405,M0406,Beauty,New York,67,VCN-integration,0
406,M0407,Beauty,New York,65,VCN-integration,0
407,M0408,Beauty,Houston,33,Other integrations,0
408,M0409,Retail,Los Angeles,40,API-integration,0
409,M0410,Airline,San Francisco,43,VCN-integration,0
410,M0411,Beauty,Los Angeles,44,Other integrations,0
411,M0412,Airline,Los Angeles,29,Partnership,0
412,M0413,Restaurant,Chicago,13,API-integration,0
413,M0414,Ticket,Houston,12,API-integration,1
414,M0415,Airline,New York,46,Debit Card,0
415,M0416,Ticket,Chicago,2,Affirm Anywhere,0
416,M0417,Beauty,San Francisco,35,Debit Card,0
417,M0418,Ticket,Los Angeles,8,Partnership,0
418,M0419,Ticket,New York,26,Other integrations,0
419,M0420,Beauty,Houston,34,API-integration,0
420,M0421,Airline,Phoenix,7,API-integration,0
421,M0422,Beauty,Los Angeles,68,VCN-integration,0
422,M0423,Restaurant,Los Angeles,58,Affirm Anywhere,0
423,M0424,Department_store,Los Angeles,29,Affirm Anywhere,0
424,M0425,Retail,Los Angeles,36,VCN-integration,0
425,M0426,Beauty,New York,21,Partnership,0
426,M0427,Beauty,Houston,36,Affirm Anywhere,0
427,M0428,Ticket,Chicago,10,API-integration,0
428,M0429,Restaurant,New York,24,Partnership,0
429,M0430,Ticket,Houston,64,Debit Card,0
430,M0431,Airline,Chicago,49,Debit Card,0
431,M0432,Beauty,Los Angeles,36,Partnership,0
432,M0433,Beauty,Houston,24,API-integration,0
433,M0434,Ticket,Los Angeles,23,Debit Card,0
434,M0435,Beauty,Houston,62,Other integrations,0
435,M0436,Airline,San Francisco,37,API-integration,0
436,M0437,Department_store,Phoenix,12,VCN-integration,0
437,M0438,Retail,Los Angeles,55,Affirm Anywhere,0
438,M0439,Retail,Los Angeles,13,Partnership,0
439,M0440,Retail,Los Angeles,23,Affirm Anywhere,0
440,M0441,Department_store,San Francisco,30,VCN-integration,0
441,M0442,Beauty,New York,17,Debit Card,1
442,M0443,Ticket,Chicago,62,Other integrations,0
443,M0444,Restaurant,Los Angeles,13,API-integration,0
444,M0445,Beauty,Los Angeles,59,API-integration,0
445,M0446,Department_store,New York,19,VCN-integration,0
446,M0447,Airline,New York,49,Partnership,1
447,M0448,Department_store,Phoenix,12,Affirm Anywhere,0
448,M0449,Retail,Houston,61,Other integrations,0
449,M0450,Beauty,Los Angeles,19,Debit Card,0
450,M0451,Retail,Houston,9,Partnership,0
451,M0452,Restaurant,New York,71,Other integrations,0
452,M0453,Airline,New York,28,Other integrations,0
453,M0454,Retail,Phoenix,52,VCN-integration,0
454,M0455,Restaurant,Chicago,16,VCN-integration,0
455,M0456,Department_store,San Francisco,69,API-integration,0
456,M0457,Retail,San Francisco,12,Debit Card,0
457,M0458,Retail,San Francisco,25,Partnership,0
458,M0459,Ticket,New York,52,API-integration,0
459,M0460,Airline,Los Angeles,53,Debit Card,0
460,M0461,Airline,Phoenix,23,Affirm Anywhere,0
461,M0462,Department_store,Chicago,16,Affirm Anywhere,0
462,M0463,Ticket,San Francisco,57,API-integration,0
463,M0464,Restaurant,Phoenix,39,Partnership,0
464,M0465,Restaurant,New York,53,Debit Card,0
465,M0466,Department_store,San Francisco,42,Affirm Anywhere,0
466,M0467,Airline,Chicago,58,Affirm Anywhere,0
467,M0468,Restaurant,Houston,39,Partnership,0
468,M0469,Department_store,Chicago,14,API-integration,1
469,M0470,Restaurant,Los Angeles,5,VCN-integration,0
470,M0471,Beauty,San Francisco,35,Other integrations,0
471,M0472,Retail,San Francisco,18,Debit Card,0
472,M0473,Airline,Houston,9,Affirm Anywhere,0
473,M0474,Beauty,Houston,58,Other integrations,0
474,M0475,Department_store,San Francisco,17,Other integrations,0
475,M0476,Department_store,Los Angeles,7,VCN-integration,0
476,M0477,Beauty,Houston,46,Other integrations,0
477,M0478,Retail,New York,13,Partnership,0
478,M0479,Retail,San Francisco,40,API-integration,0
479,M0480,Ticket,Chicago,42,Debit Card,0
480,M0481,Restaurant,Chicago,9,Partnership,0
481,M0482,Ticket,Los Angeles,50,API-integration,0
482,M0483,Retail,New York,27,Partnership,0
483,M0484,Beauty,Houston,66,Affirm Anywhere,0
484,M0485,Restaurant,San Francisco,5,Affirm Anywhere,0
485,M0486,Beauty,Chicago,29,VCN-integration,0
486,M0487,Ticket,Chicago,37,Partnership,0
487,M0488,Department_store,Chicago,38,Other integrations,0
488,M0489,Beauty,Chicago,8,Affirm Anywhere,0
489,M0490,Ticket,Phoenix,65,API-integration,0
490,M0491,Ticket,Los Angeles,17,VCN-integration,0
491,M0492,Ticket,Houston,71,Other integrations,0
492,M0493,Department_store,San Francisco,45,Debit Card,0
493,M0494,Department_store,San Francisco,4,Partnership,0
494,M0495,Department_store,San Francisco,36,Affirm Anywhere,0
495,M0496,Restaurant,Houston,70,Other integrations,0
496,M0497,Department_store,Los Angeles,31,API-integration,0
497,M0498,Department_store,New York,19,Partnership,0
498,M0499,Department_store,Los Angeles,61,API-integration,1
499,M0500,Beauty,Chicago,54,VCN-integration,0
500,M0501,Department_store,Chicago,39,Affirm Anywhere,0
501,M0502,Restaurant,Los Angeles,19,Affirm Anywhere,0
502,M0503,Ticket,Los Angeles,39,VCN-integration,0
503,M0504,Beauty,Houston,67,API-integration,0
504,M0505,Retail,Houston,45,Partnership,0
505,M0506,Department_store,Phoenix,13,API-integration,0
506,M0507,Ticket,San Francisco,58,Partnership,0
507,M0508,Ticket,Phoenix,20,Other integrations,0
508,M0509,Beauty,San Francisco,61,VCN-integration,0
509,M0510,Retail,Chicago,39,Debit Card,0
510,M0511,Airline,Phoenix,1,Partnership,0
511,M0512,Restaurant,Phoenix,3,Affirm Anywhere,0
512,M0513,Airline,New York,62,Other integrations,0
513,M0514,Ticket,Los Angeles,63,Affirm Anywhere,0
514,M0515,Airline,Houston,25,Other integrations,0
515,M0516,Ticket,Phoenix,56,Affirm Anywhere,0
516,M0517,Airline,Houston,33,API-integration,0
517,M0518,Ticket,San Francisco,38,API-integration,0
518,M0519,Ticket,Phoenix,6,API-integration,0
519,M0520,Beauty,San Francisco,58,Other integrations,0
520,M0521,Retail,Phoenix,44,Other integrations,0
521,M0522,Ticket,Chicago,45,Affirm Anywhere,0
522,M0523,Restaurant,New York,32,Partnership,0
523,M0524,Restaurant,San Francisco,45,Other integrations,0
524,M0525,Department_store,Los Angeles,61,Affirm Anywhere,0
525,M0526,Ticket,Los Angeles,47,Partnership,0
